                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66298,                 1.3309,                0.87348,                0.32469,                0.41725,                0.23713,                0.15838,                 1.3888,                 4.1025,                 1.6591,                 0.0874,                 0.0014,                 0.0014
                      2,                0.62659,                0.66398,                 0.8659,                0.25102,                0.15957,                0.14565,                0.08981,                 1.4832,                 3.2871,                 1.4796,               0.073843,              0.0028426,              0.0028426
                      3,                0.67294,                0.62796,                0.87773,                0.21645,                0.43354,                0.15762,                0.07942,                 1.8544,                 11.618,                 2.0593,               0.060226,              0.0042258,              0.0042258
                      4,                0.61044,                0.55981,                0.86578,                0.35116,                0.56164,                0.28869,                0.18177,                 1.6564,                 8.9518,                 1.9205,                0.04655,              0.0055495,              0.0055495
                      5,                0.58197,                0.52295,                0.85833,                0.15282,                0.11033,                0.08484,                0.05191,                 2.0154,                 48.394,                 2.4303,               0.032814,              0.0068139,              0.0068139
                      6,                 0.5428,                0.49344,                0.85388,                0.30795,                0.41318,                 0.2193,                0.13974,                 1.6524,                 12.561,                  2.164,               0.019019,              0.0080189,              0.0080189
                      7,                0.50474,                0.45385,                 0.8411,                0.64091,                0.47908,                0.51569,                  0.377,                 1.4004,                 2.0355,                 1.6208,               0.008812,               0.008812,               0.008812
                      8,                0.48621,                0.43228,                0.83805,                0.75461,                0.81748,                0.77703,                0.58105,                0.94059,                 1.0266,                 1.1485,               0.008614,               0.008614,               0.008614
                      9,                0.46205,                0.41508,                0.83448,                0.87917,                0.84856,                0.88961,                 0.7337,                0.70844,                0.70948,                0.99833,               0.008416,               0.008416,               0.008416
                     10,                0.43747,                0.39542,                0.82949,                 0.9637,                0.93669,                0.98403,                0.87383,                 0.4994,                0.51903,                 0.8245,               0.008218,               0.008218,               0.008218
                     11,                0.42969,                0.38607,                 0.8226,                0.93805,                0.91781,                0.96014,                0.85298,                0.51075,                0.54442,                0.82123,                0.00802,                0.00802,                0.00802
                     12,                 0.3932,                0.35914,                0.81823,                 0.9745,                0.96594,                0.98433,                0.92393,                0.40531,                0.42157,                0.79694,               0.007822,               0.007822,               0.007822
                     13,                0.37756,                0.35179,                0.81472,                  0.998,                0.99889,                0.99497,                0.94336,                0.34812,                0.35885,                0.78484,               0.007624,               0.007624,               0.007624
                     14,                0.43249,                0.35871,                0.82318,                0.99879,                      1,                  0.995,                0.91495,                0.45468,                0.37134,                0.80372,               0.007426,               0.007426,               0.007426
                     15,                0.39913,                0.35143,                0.81851,                0.99984,                      1,                  0.995,                0.93476,                0.38209,                 0.3388,                0.78616,               0.007228,               0.007228,               0.007228
                     16,                0.36434,                0.32985,                0.81079,                0.99952,                      1,                0.99499,                0.95026,                0.32882,                0.32231,                0.77815,                0.00703,                0.00703,                0.00703
                     17,                0.33077,                0.30738,                0.80892,                0.99521,                0.99896,                0.99191,                0.93158,                0.39082,                0.33417,                0.78766,               0.006832,               0.006832,               0.006832
                     18,                0.33506,                0.30174,                0.80892,                0.99986,                0.99963,                  0.995,                0.94136,                0.40867,                0.31554,                0.79228,               0.006634,               0.006634,               0.006634
                     19,                0.34144,                0.30009,                0.80622,                0.99963,                0.99997,                  0.995,                0.95631,                 0.3342,                0.30131,                 0.7817,               0.006436,               0.006436,               0.006436
